 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
C# dorian (7#), 3+0:0:0:0:1, 8+0:0:0:0:3, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:1:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:1, 2+0:1:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:1:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:2, 8+0:0:0:0:3, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 158+0:5:1:0:24
Cb phrygian (7b), 3+0:0:0:0:3, 9+0:2:0:0:7, 8+0:4:0:0:8, 6+0:4:0:0:6, 3+1:0:0:0:3, 6+0:4:0:0:6, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:2:0:0:4, 8+0:4:0:0:8, 7+0:3:0:0:7, 6+0:4:0:0:6, 4+0:0:0:0:4, 0+0:0:0:0:0,  , 4+0:2:0:0:3, 0+0:0:0:0:0, 5+0:0:0:0:4, 1+0:0:0:0:1, 4+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:5, 0+0:0:0:0:0, 6+0:1:0:0:6, 4+0:2:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 3+0:0:0:0:1, 5+0:1:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:5, 4+0:0:0:0:3, 8+0:1:0:0:6, 8+0:4:0:0:8, 6+0:4:0:0:6, 3+1:0:0:0:3, 6+0:4:0:0:6, 4+0:1:0:0:4, 178+2:58:0:0:163
C# phrygian (7#), 3+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:1:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 100+0:4:0:0:8
Cb lydian (7b), 3+0:0:0:0:1, 8+0:2:0:0:5, 8+0:4:0:0:7, 6+0:4:0:0:6, 4+0:1:0:0:4, 6+0:4:0:0:6, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:2:0:0:4, 8+0:4:0:0:7, 7+0:3:0:0:6, 6+0:4:0:0:6, 4+0:0:0:0:3, 1+0:0:0:0:1,  , 3+0:2:0:0:3, 0+0:0:0:0:0, 5+0:0:0:0:2, 1+0:0:0:0:0, 3+0:2:0:0:3, 0+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:1, 6+0:1:0:0:4, 3+0:2:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 4+0:1:1:0:3, 5+0:1:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:4, 4+0:0:0:0:1, 7+0:1:0:0:4, 8+0:4:0:0:7, 6+0:4:0:0:6, 4+0:1:0:0:4, 6+0:4:0:0:6, 4+0:1:0:0:4, 178+0:61:1:0:146
C# lydian (7#), 3+0:0:0:0:1, 8+0:0:0:0:3, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:1:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:1, 2+0:1:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:1:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:2, 8+0:0:0:0:3, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 158+0:5:1:0:24
Cb mixolydian (7b), 3+0:0:0:0:3, 9+0:2:0:0:7, 8+0:4:0:0:8, 6+0:4:0:0:6, 3+1:0:0:0:3, 6+0:4:0:0:6, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:2:0:0:4, 8+0:4:0:0:8, 7+0:3:0:0:7, 6+0:4:0:0:6, 4+0:0:0:0:4, 0+0:0:0:0:0,  , 4+0:2:0:0:3, 0+0:0:0:0:0, 5+0:0:0:0:4, 1+0:0:0:0:1, 4+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:5, 0+0:0:0:0:0, 6+0:1:0:0:6, 4+0:2:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 3+0:0:0:0:1, 5+0:1:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:5, 4+0:0:0:0:3, 8+0:1:0:0:6, 8+0:4:0:0:8, 6+0:4:0:0:6, 3+1:0:0:0:3, 6+0:4:0:0:6, 4+0:1:0:0:4, 178+2:58:0:0:163
C# mixolydian (7#), 3+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:1:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 100+0:4:0:0:8
Cb aeolian (7b), 3+0:0:0:0:2, 9+0:2:0:0:6, 8+0:4:0:0:8, 6+0:4:0:0:6, 3+1:0:0:0:3, 6+0:4:0:0:6, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:2:0:0:4, 8+0:4:0:0:8, 7+0:3:0:0:7, 6+0:4:0:0:6, 4+0:0:0:0:4, 0+0:0:0:0:0,  , 3+0:2:0:0:3, 0+0:0:0:0:0, 5+0:0:0:0:3, 1+0:0:0:0:1, 4+0:2:0:0:3, 0+0:0:0:0:0, 5+0:1:0:0:4, 1+0:0:0:0:1, 6+0:1:0:0:5, 3+0:2:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:2, 4+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 3+0:1:1:0:3, 5+0:1:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:5, 4+0:0:0:0:2, 8+0:1:0:0:5, 8+0:4:0:0:8, 6+0:4:0:0:6, 3+1:0:0:0:3, 6+0:4:0:0:6, 4+0:1:0:0:4, 177+2:59:1:0:158
C# aeolian (7#), 3+0:0:0:0:0, 8+0:0:0:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:1:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 2+0:1:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:1:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 8+0:0:0:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 134+0:5:1:0:15
Cb locrian (7b), 3+0:0:0:0:3, 9+0:2:0:0:8, 7+0:4:0:0:7, 6+0:4:0:0:6, 4+0:1:0:0:4, 6+0:4:0:0:6, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:2:0:0:4, 8+0:4:0:0:8, 7+0:3:0:0:7, 6+0:4:0:0:6, 4+0:0:0:0:4, 0+0:0:0:0:0,  , 4+0:2:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:5, 0+0:0:0:0:0, 4+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:5, 0+0:0:0:0:0, 6+0:1:0:0:6, 4+0:2:0:0:3, 4+0:0:0:0:4, 4+0:0:0:0:4, 4+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 2+0:0:0:0:1, 5+0:1:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:5, 4+0:0:0:0:4, 8+0:1:0:0:7, 7+0:4:0:0:7, 6+0:4:0:0:6, 4+0:1:0:0:4, 6+0:4:0:0:6, 4+0:1:0:0:4, 177+0:60:0:0:168
C# locrian (7#), 3+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0,  , 1+0:1:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 72+0:4:0:0:4
